source,repetition,project,case,method,run3_failure,compile_passed,test_cases,passed_cases,cpr,epr,ic,bc,correct_ic,correct_bc
experiment,rep_3,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,2,0,1.0,0.0,0.16,0.11,0.0,0.0
experiment,rep_3,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,3,3,1.0,1.0,0.92,0.81,0.92,0.81
experiment,rep_3,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,1,0,1.0,0.0,1.0,1.0,0.0,0.0
experiment,rep_3,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,11,5,1.0,0.45454545454545453,0.95,0.8,0.91,0.61
experiment,rep_3,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,8,4,1.0,0.5,1.0,0.55,1.0,0.5
experiment,rep_3,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,14,6,1.0,0.42857142857142855,0.61,0.58,0.29,0.31
experiment,rep_3,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,16,0,1.0,0.0,0,0,0,0
experiment,rep_3,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,9,5,1.0,0.5555555555555556,0.38,0.28,0.26,0.2
experiment,rep_3,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,False,11,0,0.0,0.0,0,0,0,0
official,official_rep_1,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,True,6,1,1.0,0.16666666666666666,0.16,0.06,0.11,0.03
